Si, son una basura estos stats para mi	27
Son una mierda lo que me dieron	18
Wow	27
Ahora otro daño	27
Tengo que llegar a nivel 20	27
nosotros tenemos que llegar a  nivel 20	27
Ninguna cosa, estoy muy feliz ahi	26
Todas, me hacen muy feliz	18
cualquier lugar me haria feliz	17
estar feliz!	26
muy feliz	0
estar enojado	27
Soy un estudiante universitario solamente	27
Cambiaria mi aspecto físico porque no me gusta para nada	18
Trabajar en general en una llantera me aburre	0
No suelo escuchar nada de musica	8
Me siento triste	25
No hago nada	4
